feature,importance,cumulative,rank
worst concave points,0.13058836939656654,0.13058836939656654,1
worst area,0.11859963301051242,0.24918800240707895,2
worst radius,0.10707238681982763,0.35626038922690656,3
mean perimeter,0.08625905080119341,0.44251944002809995,4
worst perimeter,0.06951912763375968,0.5120385676618596,5
mean radius,0.06560517786491903,0.5776437455267787,6
mean concave points,0.06344274143716297,0.6410864869639417,7
mean concavity,0.0613264989158991,0.7024129858798408,8
mean area,0.050850032702084554,0.7532630185819253,9
area error,0.04034449278137402,0.7936075113632993,10
worst concavity,0.02726937528741259,0.8208768866507119,11
worst compactness,0.022201638496049614,0.8430785251467615,12
worst texture,0.01905348857420458,0.862132013720966,13
worst smoothness,0.015318464662146567,0.8774504783831126,14
mean compactness,0.014460971351016675,0.8919114497341293,15
radius error,0.012370093780939779,0.9042815435150691,16
perimeter error,0.01074361679594405,0.9150251603110131,17
worst symmetry,0.010309706658544316,0.9253348669695575,18
mean texture,0.010252755851830275,0.9355876228213877,19
concavity error,0.010134906127781935,0.9457225289491696,20
mean smoothness,0.007667512197417988,0.9533900411465877,21
worst fractal dimension,0.007013426779889336,0.960403467926477,22
smoothness error,0.006278789955417858,0.9666822578818949,23
compactness error,0.006135445459476091,0.972817703341371,24
fractal dimension error,0.005575761241448622,0.9783934645828196,25
texture error,0.004842208571860925,0.9832356731546805,26
mean fractal dimension,0.004704364960974505,0.987940038115655,27
concave points error,0.004212225007255331,0.9921522631229104,28
mean symmetry,0.0041033045574372096,0.9962555676803476,29
symmetry error,0.0037444323196522337,0.9999999999999999,30
